Author,Genre,Pages,Score,Title,Year
Adam M. Grant,"Nonfiction,Business,Psychology,Self Help,Leadership,Self Help,Personal Development",326,3.97,Originals: How Non-Conformists Move the World,2016
Lucian Bane,"Erotica,BDSM,Adult Fiction,Erotica,Romance,Humor",134,4.33,Dom Wars: Round Four,2014
Maureen Johnson,"Mystery,Young Adult,Contemporary,Audiobook,Fiction,Thriller,Mystery Thriller,Thriller,Mystery,Crime,School Stories,Boarding School,Historical,Historical Fiction",369,4.26,The Vanishing Stair,2019
Kamila Shamsie,"Fiction,Contemporary,Literary Fiction",276,4.07,Home Fire,2017
Philippa Gregory,"Historical,Historical Fiction,Historical,Fiction",544,3.9,The White Princess,2013
LeAnne Howe,"Fiction,Historical,Historical Fiction,Academic,School",227,3.79,Shell Shaker,2001
Richard J. Cannings,"Nonfiction,Environment,Nature",208,4.2,An Enchantment of Birds: Memories from a Birder's Life,2007
Bill Beverly,"Fiction,Mystery,Crime,Mystery,Thriller,Young Adult,Coming Of Age",304,3.87,Dodgers,2016
Robin Hobb,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy",757,4.52,Fool's Quest,2015
Neil Gaiman,"Fantasy,Fantasy,Mythology,Fiction,Audiobook,Short Stories",304,4.1,Norse Mythology,2017
Ann Brashares,"Young Adult,Fiction,Womens Fiction,Chick Lit,Contemporary",338,3.83,Girls in Pants: The Third Summer of the Sisterhood,2006
Ken Follett,"Historical,Historical Fiction,Fiction,Historical,Audiobook,European Literature,British Literature,Adult,Novels,Religion,Literature,16th Century,Romance",916,4.21,A Column of Fire,2017
Simon Winchester,"History,Nonfiction,Science,Politics,Travel",512,4.02,Pacific: The Ocean of the Future,2015
Matei Vişniec,"European Literature,Romanian Literature,Cultural,France,Drama,Literature,21st Century",72,4.17,La machine Tchekhov,2005
Lauren Graham,"Nonfiction,Autobiography,Memoir,Audiobook,Biography,Humor,Biography,Autobiography,Biography Memoir,Adult,Humor,Comedy,Writing,Essays",205,3.97,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",2016
Walter A. Elwell,"Reference,Biblical,Reference,Research",1352,5,Tyndale Bible Dictionary,2008
Jonathan L. Howard,"Fantasy,Science Fiction,Steampunk,Mystery,Fiction,Humor,Fantasy,Urban Fantasy",289,4.05,Johannes Cabal the Detective,2010
Han Kang,"Fiction,Contemporary,Literary Fiction",188,3.58,The Vegetarian,2016
Frances Hardinge,"Fantasy,Historical,Historical Fiction,Young Adult,Historical,Fiction,Fantasy,Paranormal",432,4.03,A Skinful of Shadows,2017
Mohsin Hamid,"Fiction,Magical Realism,Fantasy,Contemporary,Literary Fiction",231,3.79,Exit West,2017
David Attenborough,"Nonfiction,Biography,Biography,Autobiography,Audiobook,Science",384,4.41,David Attenborough's Life on Air: Memoirs of a Broadcaster,2003
J. Andrew Lockhart,,108,5,Tangled in Wisteria,2008
Ian  Hamilton,"Mystery,Fiction,Thriller,Cultural,Canada,Mystery,Crime,Adventure",352,3.86,The Wild Beasts of Wuhan,2012
Chico Buarque,"Fiction,Cultural,Brazil,Romance",195,3.71,Leite Derramado,2009
Ladee Hubbard,"Fiction,Fantasy,Magical Realism,Cultural,African American,Family,Contemporary",292,3.7,The Talented Ribkins,2017
Patricia Chapple Wright,"Nonfiction,Science,Autobiography,Memoir,Environment,Nature,Biography,Animals",320,4.38,High Moon Over the Amazon: My Quest to Understand the Monkeys of the Night,2013
Corey Feldman,"Nonfiction,Biography,Autobiography,Memoir,Biography,Autobiography",288,3.89,Coreyography,2013
Wyatt Sawyer,"Young Adult,United States,Social Movements,Social Justice",192,4,Must the Young Die Too?,2001
Cees Nooteboom,"Fiction,European Literature,Dutch Literature,Literature,Cultural,Australia",151,3.44,Lost Paradise,2007
Christopher Moore,"Humor,Fiction,Fantasy,Historical,Historical Fiction,Humor,Comedy",326,3.88,The Serpent of Venice,2014
T. Kingfisher,"Fantasy,Short Stories,Fiction,Fantasy,Fairy Tales,Anthologies",278,4.59,Jackalope Wives and Other Stories,2017
Liu Cixin,"Science Fiction,Fiction",512,4.41,The Dark Forest,2015
Terry Fallis,"Fiction,Humor,Cultural,Canada",432,3.95,One Brother Shy,2017
Richard J. Evans,"History,Nonfiction,Cultural,Germany,War,World War II",941,4.3,The Third Reich in Power,2005
Charles Duhigg,"Nonfiction,Psychology,Self Help,Business,Self Help,Personal Development",375,4.1,The Power of Habit: Why We Do What We Do in Life and Business,2012
Ruth Hamilton,,400,3.95,Meet Me at the Pier Head,2015
Ian  Hamilton,"Mystery,Thriller,Fiction,Cultural,Canada,Mystery,Crime,Adult",368,3.89,The Disciple of Las Vegas,2011
Phil Klay,"Fiction,Short Stories,War,War,Military Fiction",288,3.97,Redeployment,2014
Dougie Brimson,"Nonfiction,Sociology",256,3.27,Kicking Off: Why hooliganism and racism are killing football,2011
Peter Schwindt,"Fantasy,Historical,European Literature,German Literature,Fiction",320,3.87,Der Weg nach Camelot,2007
Cynthia Lord,"Childrens,Middle Grade,Realistic Fiction,Animals,Animals,Dogs,Fiction,Childrens",192,4.15,A Handful of Stars,2015
Alexander Weinstein,"Short Stories,Science Fiction,Fiction,Science Fiction,Dystopia",229,3.78,Children of the New World,2016
Tomas Bannerhed,"European Literature,Swedish Literature,Fiction,Cultural,Sweden",415,3.73,Korparna,2011
Neil Gaiman,"Fantasy,Short Stories,Fiction,Sequential Art,Graphic Novels,Horror",74,3.98,The Truth Is a Cave in the Black Mountains,2014
Sarah Manguso,"Nonfiction,Autobiography,Memoir,Writing,Essays,Literature,Death",111,3.98,The Guardians: An Elegy for a Friend,2012
Ann Rinaldi,"Historical,Historical Fiction,Young Adult,Historical,Fiction,English History,Tudor Period,Childrens,Middle Grade",214,3.76,The Redheaded Princess,2008
Chris Jericho,"Biography,Nonfiction,Sports,Sports,Biography,Autobiography",412,4.38,A Lion's Tale: Around the World in Spandex,2007
