Author,Genre,Pages,Score,Title,Year
Forrest Gander,Poetry,84,3.36,Redstart: An Ecological Poetics,2012
Jack McDevitt,"Science Fiction,Fiction,Space,Space Opera",407,3.7,Starhawk,2013
Roy  Jenkins,"Biography,History,Nonfiction,Politics",1024,4.09,Churchill,2002
Sandra Hill,"Fantasy,Paranormal,Romance,Paranormal Romance,Romance,Paranormal,Angels,Paranormal,Vampires",360,4.12,Kiss of Temptation,2013
Laryssa Wirstiuk,"Young Adult,Coming Of Age,Short Stories,Fiction",195,4.29,The Prescribed Burn,2012
Lois Lowry,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Childrens,Middle Grade,Classics,Audiobook,Childrens,Young Adult,Teen",393,3.99,Son,2012
Tom Gjelten,"History,Nonfiction,Business,Biography,Politics",480,4.05,Bacardi and the Long Fight for Cuba: The Biography of a Cause,2008
Eleanor Henderson,"Fiction,Historical,Historical Fiction,Young Adult,Coming Of Age,Music",388,3.49,Ten Thousand Saints,2011
Jeffrey Archer,"Nonfiction,Biography",480,3.88,Heaven,2006
Carolyn MacCullough,"Young Adult,Fantasy,Paranormal,Witches,Fantasy,Paranormal,Fantasy,Magic,Science Fiction,Time Travel,Romance,Fantasy,Urban Fantasy,Fiction,Fantasy,Supernatural",292,3.75,Once a Witch,2009
Jade Parker,"Romance,Historical,Historical Fiction,Young Adult,Adventure,Pirates,Historical,Adventure,Romance,Historical Romance",230,3.77,To Catch a Pirate,2007
Shirley Damsgaard,"Mystery,Fantasy,Paranormal,Paranormal,Witches,Mystery,Paranormal Mystery,Mystery,Cozy Mystery,Fiction,Fantasy,Fantasy,Supernatural",292,4.06,The Witch Is Dead,2007
Danielle Girard,"Mystery,Romance,Fiction,Suspense",320,4.17,The Rookie Club,2006
Rick Riordan,"Adventure,Mystery,Young Adult,Fiction",238,4.12,Vespers Rising,2011
Mira Grant,"Horror,Fantasy,Science Fiction,Fiction,Adult,Mythology,Mermaids,LGBT,Thriller,Audiobook,Fantasy,Mythology",448,4.03,Into the Drowning Deep,2017
Ai Mi,"Historical,Historical Fiction,Fiction,Romance,Cultural,China,Historical",368,3.58,Under the Hawthorn Tree,2012
Klaus Modick,"European Literature,German Literature,Historical,Historical Fiction,Fiction,Historical",240,3.68,Konzert ohne Dichter,2015
Soham Patel,"Poetry,Literary Fiction",98,4.71,To Afar from Afar,2018
Bernd Heinrich,"Nonfiction,Environment,Nature,Animals,Birds,Science,Animals,Science,Natural History",224,3.86,One Wild Bird at a Time: Portraits of Individual Lives,2016
Hugh Blackwood,"Romance,M M Romance",29,3.68,FILLED at Camp: The GAY Outdoors,2015
Adam Rex,"Science Fiction,Young Adult,Childrens,Middle Grade,Humor,Fiction",426,4.1,The True Meaning of Smekday,2007
Matthew  Dunn,"Fiction,Thriller,Spy Thriller,Espionage",432,3.58,Spycatcher,2011
Ernst Wilhelm Heine,Fantasy,379,3.54,Papavera - Der Ring des Kreuzritters,2006
Helen Rappaport,"History,Nonfiction,Cultural,Russia,History,Russian History,Politics,War",464,3.96,"Caught in the Revolution: Petrograd, Russia, 1917 – A World on the Edge",2017
Kate Grenville,"Historical,Historical Fiction,Fiction,Cultural,Australia,Historical",307,3.64,The Lieutenant,2010
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Graphic Novels,Fantasy,Sequential Art,Comics,Childrens",184,4.38,"Pokémon Adventures (Ruby and Sapphire), Vol. 22",2014
Gary Russell,"Media Tie In,Doctor Who,Science Fiction,Fiction,Fantasy",256,3.81,Doctor Who: The Glamour Chase,2010
Bill O'Reilly,"Nonfiction,Biography,Politics,Autobiography,Memoir,Biography,Autobiography",256,3.91,A Bold Fresh Piece of Humanity,2008
Diane Decillis,"Poetry,Literature,American",94,4.14,Strings Attached,2014
David Wiesner,"Childrens,Picture Books,Childrens,Fantasy",40,4.25,Flotsam,2006
John Grisham,"Nonfiction,Crime,True Crime,Mystery,Crime",360,3.82,The Innocent Man: Murder and Injustice in a Small Town,2006
Brian Farrey,"LGBT,Young Adult,Realistic Fiction,Romance",349,3.9,With or Without You,2011
Toshiaki Iwashiro,"Sequential Art,Manga,Fantasy,Action,Manga,Shonen,Science Fiction",200,4.18,"Psyren, Vol. 1: Urban Legend",2011
Jeaniene Frost,"Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Romance,Fantasy",355,4.34,Destined for an Early Grave,2009
Julian Barnes,"Nonfiction,Food and Drink,Food,Food and Drink,Cooking,Writing,Essays,Humor",160,3.66,The Pedant in the Kitchen,2004
K.M. Ruiz,"Science Fiction,Fiction,Science Fiction,Dystopia,Science Fiction Fantasy",293,3.44,Mind Storm,2011
Taras Grescoe,"History,Cultural,China,Nonfiction,Cultural,Asia",480,3.86,Shanghai Grand: Forbidden Love and International Intrigue in a Doomed World,2016
Alice Hoffman,"Fiction,Contemporary,Audiobook,Adult Fiction",258,3.99,Faithful,2016
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy",200,4.33,"Pokémon Adventures (Gold and Silver), Vol. 10",2010
Matthew      Ward,"40k,Science Fiction,Sports and Games,Games,European Literature,British Literature",96,3.89,"Codex: Blood Angels (Warhammer 40,000)",2010
Robin Furth,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Horror,Fiction",160,4.17,The Dark Tower: The Long Road Home,2008
John Scalzi,"Science Fiction,Fiction,Humor,Audiobook",280,3.91,Agent to the Stars,2005
Liz Coley,"Young Adult,Mystery,Contemporary,Thriller",344,4.01,Pretty Girl-13,2013
Jeremy Robinson,"Thriller,Science Fiction,Fiction",223,4.43,Callsign - Doubleshot,2014
Robert Charles Wilson,"Science Fiction,Fiction,Science Fiction,Alternate History,Science Fiction,Aliens",320,3.34,Burning Paradise,2013
Vasily Grossman,"History,Nonfiction,Cultural,Russia,War,World War II,War,Biography",380,4.15,A Writer at War: Vasily Grossman with the Red Army,2007
Amanda Quick,"Romance,Fantasy,Paranormal,Romance,Historical Romance,Historical,Romance,Paranormal Romance,Mystery,Fantasy",320,3.85,Crystal Gardens,2012
Stephen King,"Fantasy,Fiction,Horror,Science Fiction,Thriller,Apocalyptic,Post Apocalyptic,Westerns,Science Fiction Fantasy,Adventure,Novels",3914,4.61,"The Dark Tower Series Collection: The Gunslinger, The Drawing of the Three, The Waste Lands, Wizard and Glass, Wolves of the Calla, Song of Susannah, The Dark Tower",2011
Lauren Oliver,"Science Fiction,Dystopia,Young Adult,Short Stories,Romance,Novella",64,3.63,Hana,2012
Dan Abnett,"Sequential Art,Comics,Horror,Fiction,Sequential Art,Graphic Novels,Comics,Comic Book",32,3.78,The New Deadwardians,2012
James Herbert,"Horror,Fiction,Paranormal,Ghosts,Thriller,Fantasy,Supernatural",600,3.91,The Secret of Crickley Hall,2006
Susane Colasanti,"Young Adult,Romance,Contemporary,Womens Fiction,Chick Lit,Realistic Fiction",320,3.84,Waiting for You,2009
Robin Wasserman,"Young Adult,Science Fiction,Science Fiction,Dystopia",440,3.73,Crashed,2009
Shirley Damsgaard,"Mystery,Fantasy,Paranormal,Paranormal,Witches,Mystery,Cozy Mystery,Mystery,Paranormal Mystery,Fiction,Fantasy,Fantasy,Supernatural",288,3.95,Charmed to Death,2006
Katharine Kerr,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,Dragons",480,4.15,"The Spirit Stone (The Silver Wyrm, #2)",2007
Kim Mckay,"Nonfiction,Science,Environment,Environment,Green,Reference",128,3.33,True Green: 100 Everyday Ways you Can Contribute to a Healthier Planet,2007
Terry Pratchett,"Fantasy,Fiction,Humor",480,3.98,Raising Steam,2014
Jonathan Lyons,"History,Nonfiction,Religion,Islam,Science,Religion",320,3.88,The House Of Wisdom,2009
Kristen Heitzmann,"Christian Fiction,Christian,Romance,Fiction,Contemporary,Suspense",416,4.28,The Breath of Dawn,2012
Fredrik Backman,"Fiction,Contemporary,Audiobook,Sports,Sports",432,4.25,Beartown,2017
Dima Zales,"Science Fiction,Science Fiction,Dystopia,Fiction",211,3.77,Limbo,2016
Katherine Arden,"Fantasy,Historical,Historical Fiction,Fiction,Young Adult,Historical,Fantasy,Fairy Tales,Cultural,Russia,Fantasy,Mythology,Adult,Fantasy,Magic",323,4.12,The Bear and the Nightingale,2017
Bailey Cates,"Mystery,Mystery,Cozy Mystery,Fantasy,Paranormal,Fantasy,Magic,Paranormal,Witches,Fantasy",304,4.06,Magic and Macaroons,2015
Cornelia Funke,"Childrens,European Literature,German Literature,Young Adult",188,4.06,Die Wilden Hühner und die Liebe,2003
Robin Furth,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Horror,Fiction",144,4.31,The Dark Tower: Battle of Jericho Hill,2010
Ben Fountain,"Short Stories,Fiction,Literature,Contemporary,Audiobook,Short Stories,Short Story Collection,Literary Fiction,Literature,American,Literature,21st Century,Anthologies,Collections",272,3.95,Brief Encounters with Che Guevara: Stories,2007
Donna VanLiere,"Fiction,Historical,Historical Fiction,Audiobook",308,4.06,The Good Dream,2012
C.K. Stead,"Fiction,Literary Fiction",230,3.78,The Secret History Of Modernism,2003
Owen Egerton,"Short Stories,Fiction",183,3.82,How Best to Avoid Dying,2007
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Comics,Sequential Art,Graphic Novels,Fantasy",224,4.42,"Pokémon Adventures (Gold and Silver), Vol. 9",2010
James Goss,"Media Tie In,Doctor Who,Science Fiction,Fiction,Fantasy",256,3.82,Doctor Who: The Blood Cell,2014
Lauren Roedy Vaughn,"Young Adult,Contemporary,Realistic Fiction,Mental Health,Mental Illness,Fiction,Health,Mental Health,Humor",240,3.51,"OCD, the Dude, and Me",2013
Lily Hoang,"Fiction,Poetry",246,4.04,The Evolutionary Revolution,2010
Mark Mazower,"History,Nonfiction,Cultural,Greece,Literature,Jewish,History,European History,Religion,Religion,Islam,Geography,Cities,Historical,Travel",544,4.27,"Salonica, City of Ghosts: Christians, Muslims and Jews, 1430-1950",2006
Alex Archer,"Fantasy,Adventure,Fantasy,Urban Fantasy",320,3.79,Celtic Fire,2014
Lynsay Sands,"Romance,Paranormal Romance,Paranormal,Vampires,Romance,Fantasy,Paranormal",362,4.24,A Bite to Remember,2006
Sarah Darer Littman,"Young Adult,Realistic Fiction,Contemporary,Mystery,Fiction",330,3.77,Want to Go Private?,2011
Michael Buckley,"Fantasy,Mystery,Fantasy,Fairy Tales,Childrens,Childrens,Middle Grade,Fiction",292,4.24,The Unusual Suspects,2007
Peter A. Levine,"Psychology,Nonfiction,Health,Health,Mental Health,Self Help",384,4.35,In an Unspoken Voice: How the Body Releases Trauma and Restores Goodness,2010
Arundhati Roy,"Nonfiction,Politics,Writing,Essays,Cultural,India,War",140,4.1,War Talk,2003
Susan Carroll,"Historical,Historical Fiction,Fantasy,Romance,Historical,Romance,Historical Romance,Fiction,Cultural,France",544,3.86,The Dark Queen,2005
Kalayna Price,"Fantasy,Urban Fantasy,Fantasy,Paranormal,Fantasy,Fantasy,Magic,Fairies,Fae,Paranormal,Witches,Romance",371,4.1,Grave Dance,2011
Louise Shaffer,"Fiction,Womens Fiction,Chick Lit,American,Southern,Mystery,Romance",352,3.76,The Ladies of Garrison Gardens,2006
Elizabeth Flock,"Fiction,Contemporary,Womens Fiction,Chick Lit,Sociology,Abuse",296,3.91,Me & Emma,2006
Jilly Cooper,"Fiction,Womens Fiction,Chick Lit,Romance",1008,3.69,Wicked!,2007
Richard Bimler,Christian,64,4.67,Sex & the New You: For Young Men 13-15 (Learning about Sex) (Learning about Sex (Paperback)),2008
Elizabeth Gehrman,"Environment,Nature,Conservation,Science,Natural History,Animals,Birds",256,4.03,Rare Birds: The Extraordinary Tale of the Bermuda Petrel and the Man Who Brought It Back from Extinction,2012
Jennie Melamed,"Fiction,Science Fiction,Dystopia,Science Fiction,Adult",352,3.62,Gather the Daughters,2017
Kelly Rimmer,"Fiction,Contemporary",354,4.39,A Mother's Confession,2016
Jacky Colliss Harvey,"Nonfiction,History,Science,History,Microhistory,Sociology,Historical",240,3.5,Red: A Natural History of the Redhead,2017
Richard Grusin,"Feminism,Nonfiction,Philosophy,Theory,Gender",248,3.63,Anthropocene Feminism,2017
Randy Manners,"LGBT,Adult,Short Stories,Romance,M M Romance",20,3.52,Punished by Coach,2016
Frances Hardinge,"Fantasy,Horror,Young Adult,Historical,Historical Fiction,Fiction,Mystery",409,3.95,Cuckoo Song,2014
Catherine Fisher,"Fantasy,Young Adult,Science Fiction,Dystopia,Science Fiction,Science Fiction,Steampunk,Fiction,Adventure,Young Adult,Teen,Young Adult,Young Adult Fantasy,Mystery",458,3.64,Incarceron,2007
Ellen Wittlinger,"Young Adult,LGBT,GLBT,Queer,Fiction,LGBT,Transgender",294,3.71,Parrotfish,2007
Frank Bill,"Short Stories,Fiction,Mystery,Crime,Gothic,Southern Gothic,Mystery,Noir,American,Southern,Thriller,Mystery Thriller,Mystery,The United States Of America,American,American Fiction",272,3.8,Crimes in Southern Indiana: Stories,2011
Reki Kawahara,"Novels,Light Novel,Fantasy,Sequential Art,Manga,Science Fiction",208,4.33,"Sword Art Online, Vol. 05: Phantom Bullet",2015
Jason Loborik,"Media Tie In,Doctor Who,Science Fiction",64,3.8,Doctor Who 2013 Official Annual,2012
Carole Boston Weatherford,"Childrens,Picture Books,Biography,History,Childrens,Nonfiction,Cultural,African American,Cultural,Historical,Poetry,Race",48,4.35,Moses: When Harriet Tubman Led Her People to Freedom,2006
Paula Mallea,"Health,Politics,History,Academic,College,Social Issues",256,4.27,The War on Drugs: A Failed Experiment,2014
Chelsea Cain,"Mystery,Thriller,Fiction,Mystery,Crime,Suspense",320,3.88,The Night Season,2011
Michael Crichton,"Fiction,Science Fiction,Thriller",424,3.43,Micro,2011
Lauren Willig,"Historical,Historical Fiction,Romance,Mystery,Historical,Romance,Historical Romance,Fiction,Womens Fiction,Chick Lit",453,3.92,The Masque of the Black Tulip,2006
Milan Kundera,"Fiction,Novels,Philosophy,Literature,European Literature,Czech Literature",115,3.32,The Festival of Insignificance,2015
Charles Stross,"Science Fiction,Fiction,Science Fiction,Cyberpunk,Mystery",324,3.79,Halting State,2008
Robert Service,"History,Biography,Nonfiction,Cultural,Russia,Politics,History,Russian History",715,3.92,Stalin,2006
Alex Archer,"Fantasy,Adventure,Fantasy,Urban Fantasy,Fiction,Mystery",320,3.88,Grendel's Curse,2013
Lynsay Sands,"Romance,Paranormal Romance,Romance,Paranormal,Vampires,Fantasy,Paranormal,Fantasy",373,4.13,Love Bites,2004
Conn Iggulden,"Historical,Historical Fiction,Fiction,Historical",587,4.28,The Field of Swords,2006
Kashmira Sheth,"Historical,Historical Fiction,Young Adult,Cultural,India,Fiction,Historical,Cultural",288,3.8,Keeping Corner,2007
James Patterson,"Nonfiction,Biography,Medical,Autobiography,Memoir",283,3.95,Against Medical Advice,2008
Floyd Skloot,"Autobiography,Memoir,Nonfiction,Biography,Writing,Essays,Poetry",244,4.01,In the Shadow of Memory,2004
Amy Wilentz,"Fiction,Contemporary,Cultural,Israel",330,3.71,Martyrs' Crossing,2002
Susan Carroll,"Historical,Historical Fiction,Romance,Romance,Historical Romance,Fantasy,Fiction,Historical,Cultural,France",560,3.9,The Courtesan,2005
Lynn Kurland,"Fantasy,Romance,Fantasy,Magic,Romance,Fantasy Romance,Adventure,Adult",378,4.03,The Mage's Daughter,2008
Jonathan Safran Foer,"Fiction,Poetry,Art",139,3.86,Tree of Codes,2010
Allison Pang,"Fantasy,Urban Fantasy,Fantasy,Paranormal,Fairies,Fae,Fantasy,Paranormal,Demons,Fantasy,Magic,Romance",384,3.94,A Sliver of Shadow,2012
Marlon James,"Historical,Historical Fiction,Fiction,Historical,Cultural,African American,Novels,Literary Fiction,Audiobook,Race,Literature,Adult",417,4.36,The Book of Night Women,2009
Dzogchen Ponlop,"Religion,Buddhism,Spirituality,Nonfiction,Religion,Philosophy",224,4.06,Rebel Buddha: On the Road to Freedom,2010
Don Van Ryn,"Nonfiction,Biography,Christian,Autobiography,Memoir",275,4.05,"Mistaken Identity: Two Families, One Survivor, Unwavering Hope",2008
Edna O'Brien,"Fiction,Cultural,Ireland,European Literature,Irish Literature",217,3.63,In the Forest,2002
Nick Cutter,"Horror,Fiction,Thriller,Science Fiction",358,3.76,The Troop,2014
Lynn Austin,"Historical,Historical Fiction,Christian Fiction,Christian,Fiction,Romance,Historical,Military History,Civil War",429,4.41,Fire by Night,2003
Jon Young,"Environment,Nature,Nonfiction,Animals,Birds,Science,Animals,Science,Natural History,Nature,Ornithology",241,4.07,What the Robin Knows: How Birds Reveal the Secrets of the Natural World,2012
Anton Gill,"History,Nonfiction,War,World War II,History,European History,Reference",288,4.1,The Great Escape: The Full Dramatic Story with Contributions from Survivors and Their Families,2002
Karen Botha,"Romance,M M Romance,Romance,Sports,Sports,LGBT",34,3.42,Buckle Up: Episode 1,2018
Juliana Spahr,"Poetry,Academic,College,Academic,School",155,4.26,Well Then There Now,2011
Peter S. Beagle,"Fantasy,Short Stories,Fiction,Anthologies,Fantasy,Urban Fantasy",219,4.03,We Never Talk about My Brother,2009
Eimear McBride,"Fiction,Contemporary,European Literature,Irish Literature,Literary Fiction,Cultural,Ireland",205,3.48,A Girl Is a Half-formed Thing,2013
Johnathan Mun,"Economics,Finance",1013,4,Advanced Analytical Models: Over 800 Models and 300 Applications from the Basel II Accord to Wall Street and Beyond [With DVD],2008
John Sandford,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Mystery,Detective,Audiobook,Mystery,Murder Mystery,Emergency Services,Police",1,4.18,Rough Country,2009
Steve Halle,,28,4.6,Cessation Covers,2007
Jeremy Robinson,"Fiction,Thriller,Action,Adventure,War,Military Fiction",136,4.24,Callsign: Knight (Shin Dae-jung),2011
John Flanagan,"Fantasy,Young Adult,Adventure,Fiction",403,4.46,The Hunters,2012
Arthur C. Clarke,"Science Fiction,Fiction",299,3.23,The Last Theorem,2008
Antony Beevor,"History,Nonfiction,War,War,World War II",863,4.39,The Second World War,2012
Bentley Little,"Horror,Fiction",392,3.68,The Resort,2004
C.S. Harris,"Mystery,Historical,Historical Fiction,Mystery,Historical Mystery,Historical,Historical,Regency,Fiction,Romance",342,4.24,Where Shadows Dance,2011
Frank Viola,"Christian,Nonfiction,Religion,Christianity,Religion,History,Religion,Theology,Religion,Church",337,3.82,Pagan Christianity?: Exploring the Roots of Our Church Practices,2008
Fredrik Backman,"Fiction,Contemporary,Audiobook,Humor",324,4.07,Britt-Marie Was Here,2016
Stephen King,"Horror,Fantasy,Fiction,Thriller",702,3.73,Sleeping Beauties,2017
Julia Gregson,"Historical,Historical Fiction,Fiction,Historical,War,European Literature,British Literature",464,3.45,Band of Angels,2010
Jack Yeovil,"Fantasy,Horror,Paranormal,Vampires",288,3.72,Silver Nails,2002
Hampton Sides,"Nonfiction,History,Adventure,Adventure,Survival,Historical",410,4.22,In the Kingdom of Ice: The Grand and Terrible Polar Voyage of the USS Jeannette,2014
James Lee Burke,"Mystery,Fiction,Mystery,Crime,Thriller",447,4.22,Robicheaux,2018
Gina Damico,"Young Adult,Fantasy,Fantasy,Paranormal,Fantasy,Urban Fantasy,Romance",332,4.05,Scorch,2012
Naomi Novik,"Fantasy,Fantasy,Dragons,Historical,Historical Fiction,Science Fiction,Alternate History,Fiction,Historical",325,3.95,Crucible of Gold,2012
Chinelo Okparanta,"Short Stories,Fiction,Cultural,Africa,Western Africa,Nigeria,GLBT,Queer,LGBT,Literature,African Literature",196,4.03,"Happiness, Like Water",2013
Vivi Dumas,"Romance,Fantasy,Paranormal,Paranormal,Demons,Romance,Paranormal Romance",377,3.66,Soul Catcher,2012
Sonia Purnell,"Biography,History,Nonfiction,Biography Memoir",436,4.05,Clementine: The Life of Mrs. Winston Churchill,2015
Stephanie Kallos,"Fiction,Book Club,Contemporary",373,3.81,Broken for You,2005
Eugene H. Peterson,"Biography,Autobiography,Memoir,Christian,Nonfiction,Religion,Christianity,Leadership",336,4.4,The Pastor: A Memoir,2011
Sherrilyn Kenyon,"Young Adult,Fantasy,Fantasy,Paranormal,Fantasy,Urban Fantasy",416,4.4,Illusion,2014
James Surowiecki,"Nonfiction,Business,Psychology,Economics,Sociology,Science",306,3.81,The Wisdom of Crowds,2005
Dana Stabenow,"Mystery,Fiction,Mystery,Crime",0,4.18,Whisper To The Blood,2009
Ellen Hopkins,"Young Adult,Poetry,Fiction,Contemporary",666,4.27,Impulse,2007
Ben Macintyre,"Nonfiction,History,Biography,War,World War II,Spy Thriller,Espionage,War",372,4.09,"Agent Zigzag: The True Wartime Story of Eddie Chapman: Lover, Betrayer, Hero, Spy",2007
Robert Charles Wilson,"Science Fiction,Fiction",331,3.74,Vortex,2011
Sandra Hill,"Romance,Contemporary,Romance,Contemporary Romance,Humor",362,4.11,Wild Jinx,2008
Richard Bowker,"Science Fiction,Alternate History,Science Fiction",330,3.51,The Portal,2013
Simon Schama,"History,Nonfiction,North American Hi...,American History,Military History,American Revolution,Historical",496,3.98,"Rough Crossings: Britain, the Slaves and the American Revolution",2006
Alex Archer,"Fantasy,Fantasy,Urban Fantasy",320,3.94,Death Mask,2015
Susan Krinard,"Romance,Fantasy,Fantasy,Paranormal,Romance,Paranormal Romance,Romance,Historical Romance,Historical,Fiction,Fairies,Fae,Historical,Historical Fiction,Paranormal,Shapeshifters",390,3.6,The Forest Lord,2002
Tony Johnston,"Historical,Historical Fiction,Young Adult,Historical,Fiction,Cultural,African American",192,3.8,Bone by Bone by Bone,2007
A. Meredith Walters,"Romance,New Adult,Young Adult,Contemporary,Romance,Contemporary Romance",290,3.97,Find You in the Dark,2012
Douglas Preston,"Thriller,Fiction,Mystery,Adventure,Science Fiction",398,3.8,Tyrannosaur Canyon,2006
Jenny Nimmo,"Fantasy,Young Adult,Childrens,Middle Grade,Fiction,Childrens,Fantasy,Magic,Adventure,Childrens,Juvenile,Young Adult,Young Adult Fantasy,Audiobook",429,4.02,Charlie Bone and the Shadow,2008
Cornel West,"Biography,Nonfiction,Autobiography,Memoir,Biography Memoir",288,4.05,"Brother West: Living and Loving Out Loud, A Memoir",2009
Kaui Hart Hemmings,"Fiction,Contemporary,Audiobook,Adult Fiction,Adult,Family,Literary Fiction,Drama,Novels,Media Tie In,Movies",283,3.83,The Descendants,2007
Douglas Clegg,"Horror,Fiction,Paranormal,Ghosts",377,3.47,The Infinite,2002
Maureen Johnson,"Young Adult,Romance,Contemporary,Fiction",282,3.85,The Last Little Blue Envelope,2011
M.S. Verish,"Fantasy,Fiction",716,3.64,Raven's Heart: A Tale from the World of Secramore,2010
Roger A. MacDonald,Nonfiction,208,4,Country Doctors Chronicle: Further Tales From The North Woods,2004
Mineko Iwasaki,"Nonfiction,Cultural,Japan,Biography,Autobiography,Memoir,History",297,3.93,"Geisha, a Life",2003
Shirley Damsgaard,"Mystery,Fantasy,Paranormal,Paranormal,Witches,Mystery,Cozy Mystery,Fiction,Mystery,Paranormal Mystery,Fantasy",262,4.05,The Witch's Grave,2008
Clifford Chase,"Fiction,Fantasy,Humor",256,3.07,Winkie,2007
Jilliane Hoffman,"Thriller,Mystery,Crime,Mystery,Fiction,Suspense,Thriller,Mystery Thriller,Thriller,Legal Thriller,Romance,Adult,European Literature,German Literature",448,4.08,Retribution,2004
Chris Van Allsburg,"Childrens,Picture Books,Biography,Nonfiction,Childrens,History,Adventure",38,3.89,Queen of the Falls,2011
Colson Whitehead,"Fiction,Historical,Historical Fiction,Historical,Audiobook",224,4.25,The Nickel Boys,2019
Kim Edwards,"Fiction,Mystery,Contemporary",377,3.18,The Lake of Dreams,2011
Karen Armstrong,"Religion,History,Nonfiction,Philosophy,Spirituality",592,4.03,The Great Transformation: The Beginning of Our Religious Traditions,2007
David  Wong,"Science Fiction,Fiction,Humor,Fantasy",384,3.99,Futuristic Violence and Fancy Suits,2015
Louise Stevens,Womens Fiction,45,4,Focus On Your Job,2017
Cat Winters,"Historical,Historical Fiction,Young Adult,Fantasy,Paranormal,Fantasy,Historical,Romance",352,3.89,The Cure for Dreaming,2014
Mark Kurlansky,"Nonfiction,Travel,History",272,3.9,Havana: A Subtropical Delirium,2017
David    Joy,"Fiction,Mystery,Crime,Gothic,Southern Gothic,American,Southern,Mystery",272,3.94,The Weight of This World,2017
Jeffery Deaver,"Mystery,Thriller,Fiction,Mystery,Crime",657,3.96,The Stone Monkey,2005
Hidenori Kusaka,"Sequential Art,Manga,Sequential Art,Graphic Novels,Fantasy,Sequential Art,Comics",240,4.31,"Pokémon Adventures (FireRed and LeafGreen), Vol. 23",2014
Paul Theroux,"Travel,Cultural,Africa,Nonfiction,Autobiography,Memoir",485,3.96,Dark Star Safari: Overland from Cairo to Cape Town,2004
Teffi,"Short Stories,Fiction,Cultural,Russia,Literature,20th Century",301,3.87,Subtly Worded,2014
Brian Michael Bendis,"Sequential Art,Comics,Sequential Art,Graphic Novels,Superheroes,Marvel,Comics,Comic Book,Graphic Novels Comics,Comics,Superheroes,Fiction,Marvel,X Men,Science Fiction,Fantasy",224,3.99,House of M,2006
Christopher  Nicholson,"Fiction,Historical,Historical Fiction,Animals,Historical,European Literature,British Literature,Adult,Literature,18th Century,Novels,Literary Fiction,Contemporary",298,3.45,The Elephant Keeper,2009
K.A. Barson,"Young Adult,Contemporary,Realistic Fiction,Fiction,Young Adult,Teen,Romance",272,3.81,45 Pounds (More or Less),2013
Don Kladstrup,"History,Nonfiction,Alcohol,Wine,Cultural,France,War,World War II,War,Food and Drink,Food,Food and Drink,Historical,Food and Drink,Food and Wine",290,3.98,"Wine and War: The French, the Nazis, and the Battle for France's Greatest Treasure",2002
John  Stephens,"Fantasy,Young Adult,Childrens,Middle Grade,Adventure,Fiction",417,3.93,The Emerald Atlas,2011
James Patrick Kelly,"Short Stories,Science Fiction,Anthologies,Fiction,Fantasy,Speculative Fiction,Magical Realism,Weird Fiction,New Weird,Fantasy,Weird Fiction,Science Fiction Fantasy",320,3.79,Feeling Very Strange: The Slipstream Anthology,2006
Alex Archer,"Fantasy,Mystery",320,3.91,The Pretender's Gambit,2014
Lynsay Sands,"Paranormal,Vampires,Romance,Paranormal Romance,Romance,Fantasy,Paranormal,Fantasy",369,4.17,Single White Vampire,2003
Wilbur Smith,"Historical,Historical Fiction,Fiction,Adventure,Cultural,Africa,Historical",635,4.04,The Triumph of the Sun,2006
Pierre Bourdieu,"Sociology,Northern Africa,Algeria,Anthropology,History,European History",230,4.12,Picturing Algeria,2012
Colin Woodard,"History,Nonfiction,Adventure,Pirates,Historical,Audiobook",400,3.85,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,2007
Christopher Pike,"Young Adult,Fantasy,Paranormal,Fantasy,Horror",789,4.13,Remember Me,2010
Christopher Buecheler,"Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Fantasy,Urban Fantasy,Horror,Romance",265,3.58,The Blood That Bonds,2009
Roger A. MacDonald,,176,3.94,Country Doctor's Journal: Amazing Stories from Incredible Situations,2007
Stephen Goodwin,"Fiction,Adult,Contemporary",432,3.37,Breaking Her Fall,2004
Philip Hawley Jr.,"Mystery,Thriller,Fiction,Suspense,Medical",482,3.69,Stigma,2007
Linda Sue Park,"Mystery,Adventure,Young Adult,Childrens,Middle Grade,Fiction,Childrens,Fantasy,Audiobook,Childrens,Juvenile,Action",190,4,Storm Warning,2010
Michel Houellebecq,"Fiction,Cultural,France,Contemporary,European Literature,French Literature,Novels",330,3.61,Serotonin,2019
Jill Twiss,"Childrens,Picture Books,Childrens,Fiction,LGBT,Humor",34,4.72,A Day in the Life of Marlon Bundo,2018
